run_number,nTrackPass,nAssociatedCluster,efficiency,efficiency_error,efficiency_lerr,efficiency_uerr,residuals_mean,residuals_sigma,residuals_meanx,residuals_sigmax,residuals_meany,residuals_sigmay,clusterSize_mean,clusterCharge_mean,seedCharge_mean,residuals_mean_mimosa0,residuals_errmean_mimosa0,residuals_sigma_mimosa0,residuals_errsigma_mimosa0,residuals_mean_mimosa1,residuals_errmean_mimosa1,residuals_sigma_mimosa1,residuals_errsigma_mimosa1,residuals_mean_mimosa2,residuals_errmean_mimosa2,residuals_sigma_mimosa2,residuals_errsigma_mimosa2,residuals_mean_mimosa3,residuals_errmean_mimosa3,residuals_sigma_mimosa3,residuals_errsigma_mimosa3,residuals_mean_mimosa4,residuals_errmean_mimosa4,residuals_sigma_mimosa4,residuals_errsigma_mimosa4,residuals_mean_mimosa5,residuals_errmean_mimosa5,residuals_sigma_mimosa5,residuals_errsigma_mimosa5
1679,132727,132554,0.9986965726641904,0.00010291091583625178,0.0001068146915715884,9.900714010091516e-05,0.7556063302799314,12.395520068102254,0.10081604293427322,12.565270628179748,0.7488504869773268,12.22576950802476,1.3080426838309043,9.566087111994907,7.9198103909922635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680,1330027,1328139,0.998580479945144,3.304446669516459e-05,3.3423974545088164e-05,3.266495884524101e-05,0.9384270523161273,12.394658463076018,-0.443975254217996,12.59517414957698,0.8267595213608376,12.194142776575056,1.3046750618830407,9.510549078418276,7.898997882283933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1681,1330739,1328751,0.998506093230904,3.3879007433956776e-05,3.425814570334751e-05,3.349986916456604e-05,1.168507849847365,12.35118765778724,-0.534354381968373,12.541881810940572,1.0391708183095358,12.160493504633909,1.3070681134604436,9.504654688840501,7.890382348329587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682,1008892,669252,0.6633534610245695,0.0004712730855241376,0.0004714353087417189,0.0004711108623065563,1.3701844324196808,11.938379230217251,-0.7935088206009182,12.077805093616659,1.1170269157338075,11.798953366817841,1.0840064825025604,7.575737721896843,7.104772900345991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1684,998101,706350,0.7076939107364886,0.0004560476256716961,0.0004562561221561623,0.0004558391291872299,0.907597923149036,12.084117817000731,-0.13139670078236854,12.222229037898634,0.8980361335313586,11.946006596102826,1.090659100099698,7.482303329963051,6.981561082465342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1685,976163,756816,0.7752967485962897,0.00042323531210275434,0.00042351791458028476,0.0004229527096252239,0.848362011428226,12.258392033140051,0.19968924712023478,12.458187870026906,0.8245255041653347,12.058596196253198,1.1080915433724452,7.4225486414545445,6.857931321711021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1686,952289,838033,0.8800196158939145,0.000333717805344802,0.0003341178358337027,0.0003333177748559013,0.7618083040894821,12.450119321381756,-0.5556089971402335,12.663458308670485,0.521201049957228,12.236780334093028,1.1532551456405187,7.57105371134925,6.82913333465388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687,944688,914938,0.9685081211998036,0.00018032784997262796,0.00018082567574939645,0.00017983002419585947,1.4782761945348437,12.432335314195013,-1.2060345133960892,12.67700475354619,0.8548574500031438,12.187665874843837,1.2526880101607878,8.370435771076053,7.186449962447261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688,929794,926742,0.9967175524901215,5.98960924578229e-05,6.0435621165866316e-05,5.935656374977949e-05,1.2707217348699418,12.176952205455072,-0.46830759831034746,12.405188198334388,1.181279696276741,11.948716212575755,1.3394380447905687,9.497100006332241,7.793020759259175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689,980658,979284,0.9985988999222971,3.830848595343106e-05,3.88242263377192e-05,3.7792745569142916e-05,1.5951114591203208,12.25301794265416,-0.6298290718890092,12.469186457229696,1.4655019301319219,12.036849428078623,1.3168985517522682,9.710980122177379,8.027365471492436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
