Run number,chip_sn,start_column,stop_column,chip_config_file,frontend,Masked pixel in FE,Masked in row 99,IBIAS,ITHR,ICASN,IDB,ITUNE,ICOMP,IDEL,IRAM,VRESET,VCASP,VCASC,VCLIP,THR min pulse 19 TB,THR min lab pre TB,THR pulse 19 post TB,THR min post TB,THR max post TB,THR dispersion pulse19 post TB,NOISE pulse 19 post TB,THR_effective=THR_min +DeltaTHR/2,sigma_effective ~ sqrt(noise**2 + DeltaTHR/2**),THR_effective/sigma_effective,scan_noise_timeout [s],number hits,Fake hit rate post TB,File THR_scan pulse19,Calibration_TOT,run_configure_date,run_configure_time,elog_start,elog_stop,LogFile,Cu [°C],NTC [°C],LogFile.1,U_LV/V,U_PWELL/V,U_PSUBWELL/V,U_HV/V,I_LV/mA,I_PWELL/mA,I_PSUBWELL/mA,I_HV/uA,Comment
1979,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,10.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,"18,2","17,48","17,43","19,49","0,5","1,33","18,46","1,68","10,97",300,19,"3,87E-06",20251022_153837,TRUE,2025-04-10,08:00:31,10.04.2025 08:01:06,10.04.2025 08:31:32,2025-04-09 23:42:08_usbtc08_log.csv,"45,0","40,33",2025-04-10 04:14:29_power_log.csv,"1,8","0,0","0,0","35,0","416,68","0,5","0,3","22,71",
1980,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,5.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,21,"19,65","19,63","21,98","0,68","1,37","20,805","1,80","11,53",300,40,"8,15E-06",20251022_155656,TRUE,2025-04-10,08:32:39,10.04.2025 08:35:34,10.04.2025 09:04:50,2025-04-09 23:42:08_usbtc08_log.csv,"45,0","40,32",2025-04-10 04:14:29_power_log.csv,"1,8","0,0","0,0","35,0","416,29","0,5","0,3","22,7",
1982,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,"16,6","16,18","15,97","17,97","0,5","1,59","16,97","1,88","9,03",300,12,"2,45E-06",20251016_172603,TRUE,2025-04-10,13:48:58,10.04.2025 13:52:11,10.04.2025 14:21:57,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,82",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","419,29","0,7","0,41","38,37",
1983,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,10.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,"20,9","19,95","19,81","22,2","0,73","1,67","21,005","2,05","10,23",300,17,"3,47E-06",20251016_175659,TRUE,2025-04-10,14:22:27,10.04.2025 14:22:57,10.04.2025 14:54:21,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,80",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","417,95","0,7","0,41","38,23",
1984,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,80.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,"13,9","13,59","13,34","15,19","0,55","1,48","14,265","1,75","8,17",300,16,"3,26E-06",20251016_182826,TRUE,2025-04-10,14:56:02,10.04.2025 14:56:50,10.04.2025 15:25:43,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,80",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","421,58","0,7","0,44","38,49",
1985,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_45C_THR25/20250410_121000_threshold_scan_interpreted.h5,HVC,"31,00","31,0",65.0,30.0,9.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,25,"24,6","24,79","26,94","0,52","1,78","25,865","2,08","12,44",300,31,"6,32E-06",20251023_145103,TRUE,2025-04-10,15:28:03,10.04.2025 15:30:09,10.04.2025 15:59:14,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,53",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","362,83","0,7","0,4","35,81",
1986,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_45C_THR30/20250410_113525_threshold_scan_interpreted.h5,HVC,"31,00","31,0",65.0,50.0,10.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,30,"29,69","29,65","31,98","0,51","1,65","30,815","2,02","15,26",300,21,"4,28E-06",20251023_151622,TRUE,2025-04-10,16:04:07,10.04.2025 16:04:29,10.04.2025 16:34:02,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,54",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","362,71","0,69","0,38","35,8",
1987,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_45C_THR35/20250410_114702_threshold_scan_interpreted.h5,HVC,"31,00","31,0",65.0,70.0,10.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,35,"34,67","34,48","36,82","0,52","1,58","35,65","1,97","18,13",300,32,"6,52E-06",20251023_154051,TRUE,2025-04-10,16:35:10,10.04.2025 16:35:41,10.04.2025 17:04:26,2025-04-09 23:42:08_usbtc08_log.csv,"52,0","45,61",2025-04-10 13:40:15_power_log.csv,"1,8","0,0","0,0","35,0","367,57","0,7","0,4","36,03",
1990,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,80.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,"12,6","12,12","11,87","13,72","0,47","1,16","12,795","1,48","8,62",300,37,"7,54E-06",20251023_120349,TRUE,2025-04-10,17:22:39,10.04.2025 17:23:05,10.04.2025 17:51:47,2025-04-09 23:42:08_usbtc08_log.csv,"44,0","39,89",2025-04-10 17:21:47_power_log.csv,"1,8","0,0","0,0","35,0","417,54","0,5","0,3","21,32",
1991,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"19,3","19,08","23,09","0,4","1,08","21,085","2,28","9,26",300,22,"4,48E-06",20251020_160651,TRUE,2025-04-10,18:07:41,10.04.2025 18:09:22,10.04.2025 18:37:43,2025-04-09 23:42:08_usbtc08_log.csv,"31,0","30,26",2025-04-10 17:56:01_power_log.csv,"1,8","0,0","0,0","4,0","410,3","0,3","0,2","7,36",
1993,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"23,85","23,52","29,21","0,48","1,19","26,365","3,08","8,55",300,16,"3,26E-06",20251020_163242,TRUE,2025-04-10,19:12:44,10.04.2025 19:13:22,10.04.2025 19:41:47,2025-04-09 23:42:08_usbtc08_log.csv,"31,0","30,07",2025-04-10 19:12:12_power_log.csv,"1,8","0,0","0,0","2,0","410,27","0,3","0,2","7,1",
1995,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"20,97","20,73","25,29","0,42","1,11","23,01","2,54","9,07",300,20,"4,08E-06",20251020_171352,TRUE,2025-04-10,20:22:55,10.04.2025 20:23:22,10.04.2025 20:52:18,2025-04-09 23:42:08_usbtc08_log.csv,"31,0","30,01",2025-04-10 20:21:19_power_log.csv,"1,8","0,0","0,0","3,0","410,34","0,3","0,2","7,19",
1997,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"12,08","12,03","13,88","0,18","0,68","12,955","1,15","11,28",300,16,"3,26E-06",20251021_160147,TRUE,2025-04-10,21:25:25,10.04.2025 21:25:50,10.04.2025 21:56:08,2025-04-09 23:42:08_usbtc08_log.csv,"24,0","24,85",2025-04-10 20:53:14_power_log.csv,"1,8","0,0","0,0","35,0","408,29","0,3","0,17","4,5",
1998,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"11,62","11,56","13,35","0,18","0,58","12,455","1,07","11,68",300,18,"3,67E-06",20251021_165109,TRUE,2025-04-10,22:09:28,10.04.2025 22:10:49,10.04.2025 22:39:12,2025-04-09 23:42:08_usbtc08_log.csv,"17,0","19,81",2025-04-10 20:53:14_power_log.csv,"1,8","0,0","0,0","35,0","406,48","0,29","0,1","2,6",
1999,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"11,08","11,03","12,86","0,18","0,51","11,945","1,05","11,40",300,28,"5,71E-06",20251022_113910,TRUE,2025-04-10,22:54:44,,,2025-04-09 23:42:08_usbtc08_log.csv,"10,0","14,83",2025-04-10 20:53:14_power_log.csv,"1,8","0,0","0,0","35,0","404,88","0,3","0,12","1,48",
2000,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"10,8","10,73","12,54","0,18","0,47","11,635","1,02","11,41",300,26,"5,30E-06",20251022_121817,TRUE,2025-04-10,23:42:37,10.04.2025 23:43:27,11.04.2025 00:12:17,2025-04-09 23:42:08_usbtc08_log.csv,"4,0","10,54",2025-04-10 20:53:14_power_log.csv,"1,8","0,0","0,0","35,0","403,54","0,3","0,12","0,9",
2001,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"27,42","27,42","32,98","0,88","1,94","30,2","3,39","8,91",300,200854,"5,88E-03",20251010_111052,TRUE,2025-04-11,00:46:42,11.04.2025 00:47:42,11.04.2025 01:16:00,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,02",2025-04-11 00:44:33_power_log.csv,"1,8","6,0","0,0","0,0","375,44","0,4","0,2","7,17",
2002,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"27,36","27,36","32,92","0,5","1,95","30,14","3,40","8,88",300,210480,"6,16E-03",20251010_114009,TRUE,2025-04-11,01:18:41,11.04.2025 01:19:24,11.04.2025 01:38:59,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,09",2025-04-11 01:17:21_power_log.csv,"1,8","6,0","1,0","0,0","375,79","0,4","0,2","7,4",
2003,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"27,38","27,38","32,92","0,5","1,95","30,15","3,39","8,90",300,217909,"6,38E-03",20251010_120852,TRUE,2025-04-11,01:39:58,11.04.2025 01:41:24,11.04.2025 02:00:55,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,10",2025-04-11 01:39:29_power_log.csv,"1,8","6,0","2,0","0,0","375,84","0,4","0,3","7,47",
2004,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"27,11","27,11","32,53","0,47","1,95","29,82","3,34","8,93",300,221288,"6,48E-03",20251013_150752,TRUE,2025-04-11,02:02:08,11.04.2025 02:03:02,11.04.2025 02:20:25,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,09",2025-04-11 02:01:30_power_log.csv,"1,8","6,0","3,0","0,0","375,82","0,4","0,47","7,47",
2005,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,"29,1","27,07","27,07","32,52","0,49","1,94","29,795","3,35","8,91",300,342539,"1,00E-02",20251013_152816,TRUE,2025-04-11,02:22:24,11.04.2025 02:23:47,11.04.2025 02:42:01,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,09",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","375,81","0,4","0,78","7,44",
2006,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_30C_THR30_Max2/20250409_212559_threshold_scan_interpreted.h5,DCC,"199,00","0,0",100.0,64.0,7.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,30,"28,83","28,83","34,97","0,55","1,95","31,9","3,64","8,77",300,2045874,"5,96E-02",20251013_154911,TRUE,2025-04-11,02:43:58,11.04.2025 02:46:51,11.04.2025 03:05:07,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,17",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","391,71","0,4","0,7","7,61",
2007,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_30C_THR36_Max2/20250409_214315_threshold_scan_interpreted.h5,DCC,"26,00","0,0",100.0,64.0,0.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,36,"34,6","34,6","40,43","1,17",2,"37,515","3,54","10,61",300,1748,"5,08E-05",20251013_160924,TRUE,2025-04-11,03:07:47,11.04.2025 03:11:02,11.04.2025 03:29:09,2025-04-09 23:42:08_usbtc08_log.csv,"31,5","30,13",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","384,89","0,4","0,7","7,53",
2008,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,29,29,"35,06","0,54","2,31","32,03","3,81","8,41",300,236006,"6,91E-03",20251014_101959,TRUE,2025-04-11,04:01:02,11.04.2025 04:04:19,11.04.2025 04:22:46,2025-04-09 23:42:08_usbtc08_log.csv,"37,8","34,81",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","379,81","0,5","0,83","12,2",
2009,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_30C_THR30_Max2/20250409_212559_threshold_scan_interpreted.h5,DCC,"199,00","0,0",100.0,64.0,7.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,,"31,56","31,56","38,22","0,58","2,32","34,89","4,06","8,60",300,23660,"6,89E-04",20251014_104146,TRUE,2025-04-11,04:24:16,11.04.2025 04:24:41,11.04.2025 04:43:06,2025-04-09 23:42:08_usbtc08_log.csv,"37,8","34,89",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","393,57","0,5","0,89","12,4",
2010,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_30C_THR36_Max2/20250409_214315_threshold_scan_interpreted.h5,DCC,"26,00","0,0",100.0,64.0,0.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,,"38,01","38,01","44,67","0,63","2,37","41,34","4,09","10,11",300,1460,"4,24E-05",20251014_115536,TRUE,2025-04-11,04:45:42,11.04.2025 04:47:29,11.04.2025 05:05:53,2025-04-09 23:42:08_usbtc08_log.csv,"37,8","34,86",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","386,7","0,5","0,89","12,28",
2011,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"31,37","31,37","38,15","0,69","2,73","34,76","4,35","7,99",300,343991,"1,01E-02",20251015_101712,TRUE,2025-04-11,05:49:45,11.04.2025 05:51:14,11.04.2025 06:09:40,2025-04-09 23:42:08_usbtc08_log.csv,"44,5","39,87",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","384,34","0,7","1,11","20,31",
2012,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_40C_THR37_Max2/20250409_222749_threshold_scan_interpreted.h5,DCC,"127,00","0,0",100.0,64.0,5.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,37,"35,81","35,81","42,92","0,65","2,73","39,365","4,48","8,78",300,9301,"2,71E-04",20251015_104001,TRUE,2025-04-11,06:11:25,11.04.2025 06:11:58,11.04.2025 06:31:12,2025-04-09 23:42:08_usbtc08_log.csv,"44,5","39,91",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","393,73","0,7","1,15","20,5",
2013,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_40C_THR40_Max2/20250409_224418_threshold_scan_interpreted.h5,DCC,"52,00","0,0",100.0,64.0,2.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,,40,"38,47","38,47","45,98","0,61","2,76","42,225","4,66","9,06",300,3892,"1,13E-04",20251015_111107,TRUE,2025-04-11,06:34:25,11.04.2025 06:35:58,11.04.2025 06:54:52,2025-04-09 23:42:08_usbtc08_log.csv,"44,5","39,92",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","390,83","0,7","1,1","20,43",
2014,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"34,6","34,6","42,27","0,92","3,28","38,435","5,05","7,62",300,581042,"1,70E-02",20251015_121428,TRUE,2025-04-11,07:22:07,11.04.2025 07:22:40,11.04.2025 07:41:32,2025-04-09 23:42:08_usbtc08_log.csv,"51,5","45,19",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","389,48","0,9","1,6","34,21",
2015,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_45C_THR45_Max2/20250410_130358_threshold_scan_interpreted.h5,DCC,"52,00","0,0",100.0,64.0,2.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,45,,"43,86","43,86","52,13","0,78","3,29","47,995","5,28","9,08",300,2505,"7,28E-05",20251016_151726,TRUE,2025-04-11,07:43:25,11.04.2025 07:46:22,11.04.2025 08:06:44,2025-04-09 23:42:08_usbtc08_log.csv,"51,5","45,22",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","393,23","0,9","1,58","34,3",
2016,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_45C_THR50_Max2/20250410_130828_threshold_scan_interpreted.h5,DCC,"52,00","0,0",80.0,64.0,2.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,50,,"47,86","47,86","55,81","0,84","3,39","51,835","5,22","9,92",300,1515,"4,41E-05",20251016_154953,TRUE,2025-04-11,08:07:55,11.04.2025 08:08:30,11.04.2025 08:27:17,2025-04-09 23:42:08_usbtc08_log.csv,"51,5","45,10",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","366,83","0,89","1,5","33,37",
2017,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_45C_THR55_Max2/20250410_131957_threshold_scan_interpreted.h5,DCC,"52,00","0,0",65.0,64.0,2.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,55,,"52,5","52,5","60,1","0,99","3,47","56,3","5,15","10,94",300,1125,"3,27E-05",20251016_160943,TRUE,2025-04-11,08:28:16,11.04.2025 08:28:39,11.04.2025 08:50:11,2025-04-09 23:42:08_usbtc08_log.csv,"51,5","45,00",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","346,89","0,84","1,5","32,69",
2018,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_45C_THR57_Max2/20250410_132414_threshold_scan_interpreted.h5,DCC,"52,00","0,0",65.0,70.0,2.0,100.0,250.0,80.0,88.0,50.0,120.0,93.0,200.0,255.0,57,,"55,33","55,33","63,16","1,02","3,43","59,245","5,21","11,38",300,376,"1,09E-05",20251016_162940,TRUE,2025-04-11,08:53:05,11.04.2025 08:53:35,11.04.2025 09:12:22,2025-04-09 23:42:08_usbtc08_log.csv,"51,5","45,04",2025-04-11 02:21:15_power_log.csv,"1,8","6,0","4,0","0,0","347,54","0,9","1,5","32,71",
2020,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"26,25","26,25","31,46","0,48","1,76","28,855","3,14","9,18",300,297187,"8,70E-03",20251015_145811,TRUE,2025-04-11,09:40:02,11.04.2025 09:41:23,11.04.2025 10:01:10,2025-04-09 23:42:08_usbtc08_log.csv,"24,0","24,75",2025-04-11 09:38:34_power_log.csv,"1,8","6,0","4,0","0,0","371,4","0,3","0,47","4,12",
2021,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"25,37","25,37","30,22","0,49","1,58","27,795","2,89","9,60",300,641304,"1,88E-02",20251015_153258,TRUE,2025-04-11,10:12:44,11.04.2025 10:13:33,11.04.2025 10:32:15,2025-04-09 23:42:08_usbtc08_log.csv,"17,0","19,58",2025-04-11 09:38:34_power_log.csv,"1,8","6,0","4,0","0,0","367,06","0,3","0,3","2,33",
2022,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"24,74","24,74","29,34","0,5","1,46","27,04","2,72","9,93",300,2052279,"6,01E-02",20251015_161207,TRUE,2025-04-11,10:45:37,11.04.2025 10:47:13,11.04.2025 11:06:38,2025-04-09 23:42:08_usbtc08_log.csv,"11,0","15,23",2025-04-11 09:38:34_power_log.csv,"1,8","6,0","4,0","0,0","363,27","0,3","0,3","1,41",
2023,W8R4,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_DCC/W8R4_DCC_standard/20250409_184121_threshold_scan_interpreted.h5,DCC,"793,00","154,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"24,15","24,15","28,53","0,54","1,34","26,34","2,57","10,26",300,5871046,"1,72E-01",20251015_172003,TRUE,2025-04-11,11:18:15,11.04.2025 11:24:10,11.04.2025 11:42:59,2025-04-09 23:42:08_usbtc08_log.csv,"4,01","10,29",2025-04-11 09:38:34_power_log.csv,"1,8","6,0","4,0","0,0","358,79","0,3","0,2","0,79",
2025,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"17,87","17,65","21,2","0,4","1,03","19,425","2,05","9,47",300,21,"4,28E-06",20251020_174124,TRUE,2025-04-11,12:07:51,11.04.2025 12:09:34,11.04.2025 12:38:37,2025-04-09 23:42:08_usbtc08_log.csv,"30,01","29,11",2025-04-11 12:07:01_power_log.csv,"1,8","0,0","0,0","5,0","410,32","0,3","0,2","6,71",
2026,W8R4,"448,00","480,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R4_HVC/W8R4_HVC_standard/20250409_133256_threshold_scan_interpreted.h5,HVC,"31,00","31,0",100.0,30.0,30.0,100.0,250.0,80.0,88.0,50.0,50.0,40.0,140.0,255.0,,,"39,7","39,19","50,6","0,71","1,76","44,895","5,97","7,52",300,26,"5,30E-06",20251020_180552,TRUE,2025-04-11,12:44:18,11.04.2025 12:49:16,11.04.2025 13:19:15,2025-04-09 23:42:08_usbtc08_log.csv,"30,0","29,19",2025-04-11 12:43:27_power_log.csv,"1,8","0,0","0,0","1,0","410,29","0,3","0,2","6,28",
