run_number,nTrackPass,nAssociatedCluster,efficiency,efficiency_error,efficiency_lerr,efficiency_uerr,residuals_mean,residuals_errmean,residuals_sigma,residuals_errsigma,clusterSize_mean,clusterCharge_mean,seedCharge_mean,residuals_mean_mimosa0,residuals_errmean_mimosa0,residuals_sigma_mimosa0,residuals_errsigma_mimosa0,residuals_mean_mimosa1,residuals_errmean_mimosa1,residuals_sigma_mimosa1,residuals_errsigma_mimosa1,residuals_mean_mimosa2,residuals_errmean_mimosa2,residuals_sigma_mimosa2,residuals_errsigma_mimosa2,residuals_mean_mimosa3,residuals_errmean_mimosa3,residuals_sigma_mimosa3,residuals_errsigma_mimosa3,residuals_mean_mimosa4,residuals_errmean_mimosa4,residuals_sigma_mimosa4,residuals_errsigma_mimosa4,residuals_mean_mimosa5,residuals_errmean_mimosa5,residuals_sigma_mimosa5,residuals_errsigma_mimosa5
1636,3065,3065,1.0,0.000300399232405546,0.000600798464811092,0.0,-0.8067235321402613,0.22465486876221344,10.61339315503928,0.2080123877196618,2.162103347313445,71.46890084671995,49.869826699374855,-9.364478159653142e-05,5.4169247719444745e-05,0.002988240591746083,6.978539244746282e-05,0.00013780973071585745,5.932106464826493e-05,0.003976119031113331,6.093950044776513e-05,4.5829745545597654e-05,6.667205445490027e-05,0.0042551944452962585,7.317142614840749e-05,6.48565025132745e-06,5.402046791057192e-05,0.0037488639478366636,5.1719046909212175e-05,-0.00017676806151841867,6.076950654233002e-05,0.004031109084584401,6.306209025051042e-05,0.00010612196895265803,5.0951700134470284e-05,0.0030721754713230603,6.172758635788079e-05
1653,7963,7962,0.999874419188748,0.00019639319618791617,0.0002888767346411747,0.00010390965773465766,-0.5021702522958347,0.15059965363307842,12.037419608158435,0.12658731728513306,2.2174254799130444,71.08830645656526,49.11931811203498,-9.484962521055028e-05,2.866376560492403e-05,0.003057814652941863,3.0529881113392486e-05,-1.3589942263038938e-05,3.449824350548633e-05,0.003932650700974245,3.2810848031801444e-05,8.307468303085851e-05,3.847937186109295e-05,0.004203687632640734,3.978591347831759e-05,0.0001397981782258142,3.415184801273132e-05,0.0038000423833530477,3.375291243394791e-05,-7.73765848111363e-05,3.661603812722555e-05,0.0039700680971486435,3.7780322090716356e-05,4.917631140911243e-05,3.247224749812711e-05,0.0029554563966207818,4.21219385881395e-05
1658,44844,44229,0.9862857907412362,0.0005607724380501389,0.000571846025270828,0.0005496988508294498,-0.2706193720535896,0.0637621321390453,12.35752687143022,0.053631923705766305,1.340707989699493,13.123495479347937,10.913503533709203,-2.125490332378286e-06,1.367712688773189e-05,0.002877593865242537,1.711244204974881e-05,-8.460081851239404e-05,1.6160361552351488e-05,0.003966470787131375,1.667222821909772e-05,2.7553714971256108e-05,1.6608369376316776e-05,0.004024074042024668,1.731588043042741e-05,0.0002446693186182287,1.464200591293159e-05,0.0037211666188311046,1.4239398493110455e-05,-2.674602492878563e-05,1.6356021355399068e-05,0.003984833370038864,1.6877701980866117e-05,-0.0002232844756583106,1.267987569035698e-05,0.002899157580132188,1.4146271986251267e-05
1664,11050,2946,0.26660633484162893,0.004254306631815474,0.004232940747875891,0.004275672515755058,-1.3209488305586385,0.24667313322289325,12.141254171487821,0.2025906733367,1.3127088704287215,10.145517043826983,8.442757567077246,-1.304130150732365e-05,2.671617896815163e-05,0.0028599297076428616,3.338879005084281e-05,-0.00013196847110604867,3.1322179071005267e-05,0.003920938798393445,3.171382422883281e-05,0.0001914885663787872,3.266018055259554e-05,0.004012578613497723,3.407050979969278e-05,-2.2399034756015056e-05,2.9473156421404055e-05,0.003771846100121764,2.9180476586000443e-05,-0.00010568037790689696,3.2907158381006445e-05,0.0040303074786469115,3.4499818436835674e-05,2.288622382954922e-05,2.623967402168425e-05,0.002986089318283214,3.07626067735479e-05
1671,11068,3332,0.3010480664980123,0.004408003115259684,0.004389826928243745,0.0044261793022756235,-1.0261729280764795,0.22949577943015,12.033587968365959,0.18943840613854324,1.3162467034550007,10.366886066972498,8.63156261773375,-9.851468148159062e-06,2.77284409037747e-05,0.002921747241332655,3.525652943317336e-05,-0.00019463875632387402,3.161858628499734e-05,0.003941739344281993,3.231624164982928e-05,0.0003696486089544098,3.290457858528061e-05,0.004019817353184137,3.449432552451895e-05,-9.191474982781184e-05,2.9440980411534393e-05,0.003763591881292999,2.8790976858129435e-05,-0.00020890238469828184,3.301718612328765e-05,0.004028588085057336,3.4147805430691214e-05,0.00013391690511203232,2.5903704317394028e-05,0.0029448798366549685,2.9720558064750234e-05
1672,10784,3019,0.2799517804154303,0.004372437188682465,0.004351796827186061,0.00439307755017887,-1.126698972200789,0.29166270593683696,12.35635908399804,0.3135618404516656,1.314773822234954,10.198598921846923,8.484179275501965,-5.8760424504660556e-05,2.719359009950609e-05,0.0028751094125492923,3.4020349380859045e-05,-0.0001473178401830925,3.1901628266977524e-05,0.003947526137997831,3.2586394638069865e-05,0.0003646386900037882,3.085295202828279e-05,0.004086137814463075,2.8531210473781566e-05,-0.00011103097533866987,2.96837744806395e-05,0.0037670189366463456,2.942737758269737e-05,-0.00024257808511958913,3.329639679263652e-05,0.004033275131977782,3.46635617645073e-05,0.00012458938044454583,2.5575679487512082e-05,0.0029173905307115886,2.8545757749197744e-05
1673,10926,10768,0.9855390810909757,0.0011891150196062794,0.0012353741114150552,0.0011428559277975037,-1.1257291564742997,0.13481140415297746,12.439513233652642,0.11777339261147723,1.3224007615150741,10.330136674906942,8.580534481288893,-7.457046289560153e-05,2.7437453696068482e-05,0.0028981462425430094,3.472530805797913e-05,-0.00012262047648812425,3.164816275492105e-05,0.003941178800507391,3.235391119712767e-05,0.0002969881304097456,3.3459772554326304e-05,0.004058700813174434,3.5170946664878815e-05,-7.213450989092328e-05,2.9882675763777417e-05,0.0037941666185429407,2.9893262630434347e-05,-0.0002131167386474775,3.378087087100344e-05,0.004084061193403929,3.558670145370284e-05,0.00011046258216921534,2.6469838409627104e-05,0.0029778739584105374,3.073387832041674e-05
1674,36610,7577,0.20696531002458346,0.0021323586984164505,0.002124296085342342,0.002140421311490559,-0.9889397544692882,0.1547422105516094,12.01615602610487,0.13484705162377342,1.3242688715357525,10.297718572959731,8.54096871331598,-4.7332424941754494e-05,1.4971223846138927e-05,0.002895957149544718,1.8938204481511883e-05,-0.0001502085140558974,1.7556701163319655e-05,0.003978568544518085,1.8201185638626674e-05,0.0003412490197550752,1.813965099559563e-05,0.0040334752462845595,1.8922857942097132e-05,-7.278248587429869e-05,1.616844227119555e-05,0.003771088575737868,1.5986123972687644e-05,-0.00023663192557482097,1.800118900385944e-05,0.004019215295685691,1.878090653419334e-05,0.00010438518389357747,1.404891505918769e-05,0.0029352306104992653,1.601368014401744e-05
1675,36584,35465,0.969412858080035,0.0009145746391346354,0.0009276115580229005,0.0009015377202463704,-0.8522184877510546,0.07260798596464288,12.467274287851922,0.06233707475740413,1.3196555009863509,10.288543852105692,8.559175656901107,-4.3700246167784824e-05,1.5071596442762149e-05,0.00290702467744802,1.915009427169305e-05,-0.00015042250841561388,1.7464197258908986e-05,0.00396670289188189,1.8015414833396064e-05,0.00033068864433551245,1.8320159437715486e-05,0.0040568761294678115,1.9230419964496844e-05,-7.12967701227615e-05,1.6337488127879845e-05,0.003798594185837307,1.6341396594370312e-05,-0.00022242220432168601,1.6700908804024202e-05,0.004066161824295374,1.5452672510138724e-05,0.0001252624277601247,1.4188080535262141e-05,0.002947745841491498,1.6082519679204562e-05
1676,29951,7759,0.25905645888284196,0.0025498203977147305,0.002541715995952931,0.0025579247994765297,-1.146380853198722,0.15570185472465808,12.259543715974727,0.13579825836899673,1.316180376670108,10.241227234912648,8.526676622999128,-3.3854928475507834e-05,1.643709177943566e-05,0.0028824454985099677,2.0697802171956324e-05,-0.00015422492265899216,1.912261792149215e-05,0.003936186444401651,1.9682847406965378e-05,0.0003326447352649686,2.022190696567639e-05,0.004049900141794214,2.128627292765587e-05,-0.00010162655346629086,1.789006137128289e-05,0.0037712130448564686,1.7767436305806718e-05,-0.00018115001880738313,2.0005088503165712e-05,0.0040347751483321296,2.08928648920498e-05,0.0001000419378122179,1.570409892530218e-05,0.002948619090601617,1.79694223756213e-05
